planner_name bi_informed_rrt_star
planning_group omnirob_lbr_sdh
planning_result 1
max_time 30
executed_time 0
first_solution_iter 0
first_solution_time 1.48916e+09
last_solution_iter 0
last_solution_time 1.48916e+09
total_plannig_iter 0
cost_theoretical_solution_total 17.1222
cost_theoretical_solution_revolute 5.16397
cost_theoretical_solution_prismatics 16.325
cost_final_solution_total 17.1222
cost_final_solution_revolute 5.16397
cost_final_solution_prismatic 16.325
num_nodes_start_tree 22
num_nodes_goal_tree 1
num_nodes_total 23
num_edges_start_tree 21
num_edges_goal_tree 0
num_edges_total 21
num_rewire_start_tree 0
num_rewire_goal_tree 0
num_rewire_total 0
