planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_informed_rrt_star 1 0.392139 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 2 0.494578 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 3 0.587742 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 4 0.792943 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 5 0.996158 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 6 1.07399 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 7 1.16997 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 8 1.266 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 9 1.7636 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 10 1.84763 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 11 2.01543 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 12 2.20533 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 13 2.26692 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 14 2.53537 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 15 2.63657 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 16 3.03745 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 17 3.10563 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 18 3.20991 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 19 3.29908 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 20 3.4554 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 21 3.72365 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 22 3.8153 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 23 4.29166 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 24 4.5117 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 25 4.95895 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 26 5.23785 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 27 5.46418 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 28 5.60984 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 29 5.71904 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 30 5.91526 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 31 5.9794 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 32 6.03941 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 33 6.17191 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 34 6.31536 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 35 6.67191 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 36 6.87157 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 37 6.92473 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 38 7.05747 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 39 7.60627 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 40 8.00723 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 41 8.07953 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 42 8.26747 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 43 8.33092 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 44 8.8494 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 45 9.00683 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 46 9.15277 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 47 9.58714 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 48 9.76229 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 49 9.82325 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 50 10.1847 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 51 10.3643 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 52 10.5446 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 53 10.6328 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 54 11.1094 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 55 11.1643 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 56 11.2661 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 57 11.3249 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 58 11.8398 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 59 11.9556 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 60 12.2108 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 61 12.3759 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 62 12.9543 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 63 13.0474 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 64 13.4395 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 65 13.688 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 66 14.0861 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 67 14.4915 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 68 14.6658 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 69 14.7293 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 70 14.9902 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 71 15.0913 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 72 15.3677 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 73 15.4893 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 74 15.5895 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 75 15.8601 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 76 16.0012 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 77 16.0635 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 78 16.4754 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 79 16.689 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 80 17.1592 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 81 17.2548 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 82 17.6055 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 83 17.8798 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 84 18.269 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 85 18.3614 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 86 18.9974 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 87 19.1483 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 88 19.2492 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 89 19.2906 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 90 19.8399 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 91 20.3416 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 92 20.4724 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 93 20.5473 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 94 20.8469 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 95 21.1924 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 96 21.3671 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 97 21.526 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 98 21.9293 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 99 22.3154 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 100 22.8019 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 101 23.0673 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 102 23.1645 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 103 23.5554 10000 10000 10000 17.1111 4.46419 16.5185
bi_informed_rrt_star 104 23.6475 10000 10000 10000 17.1111 4.46419 16.5185
