planner_name bi_informed_rrt_star
planning_group omnirob_lbr_sdh
planning_result 0
max_time 50
executed_time 50.1296
first_solution_iter 10000
first_solution_time 10000
last_solution_iter 10000
last_solution_time 10000
total_plannig_iter 204
cost_theoretical_solution_total 17.1111
cost_theoretical_solution_revolute 4.46419
cost_theoretical_solution_prismatics 16.5185
cost_final_solution_total 10000
cost_final_solution_revolute 10000
cost_final_solution_prismatic 10000
num_nodes_start_tree 90
num_nodes_goal_tree 1
num_nodes_total 91
num_edges_start_tree 89
num_edges_goal_tree 0
num_edges_total 89
num_rewire_start_tree 0
num_rewire_goal_tree 0
num_rewire_total 0
