planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_rrt_star 1 0.059078 23.9712 14.2211 18.3903 16.8072 1.12537 16.7695
bi_rrt_star 2 0.122384 23.9712 14.2211 18.3903 16.8072 1.12537 16.7695
bi_rrt_star 3 0.179199 23.9712 14.2211 18.3903 16.8072 1.12537 16.7695
bi_rrt_star 4 0.242774 23.9712 14.2211 18.3903 16.8072 1.12537 16.7695
bi_rrt_star 5 0.359143 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 6 0.411562 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 7 0.465766 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 8 0.517848 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 9 0.531986 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 10 0.597275 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 11 0.645281 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 12 0.746316 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 13 0.796922 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 14 0.822001 23.8553 14.4723 18.0101 16.8072 1.12537 16.7695
bi_rrt_star 15 1.05101 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 16 1.1145 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 17 1.16123 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 18 1.21384 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 19 1.26524 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 20 1.30263 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 21 1.34867 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 22 1.40385 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 23 1.4603 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 24 1.52756 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 25 1.57538 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 26 1.63862 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 27 1.69023 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 28 1.81216 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 29 1.87445 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 30 1.92596 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 31 1.99182 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 32 2.04927 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 33 2.09517 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 34 2.12224 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 35 2.17297 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 36 2.39488 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 37 2.45786 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 38 2.51035 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 39 2.55404 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 40 2.60403 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 41 2.65609 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 42 2.7014 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 43 2.8046 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 44 2.88215 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 45 2.93393 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 46 2.98527 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 47 3.04466 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 48 3.09128 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 49 3.15427 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 50 3.20677 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 51 3.25401 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 52 3.30787 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 53 3.37639 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 54 3.43495 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 55 3.48765 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 56 3.54257 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 57 3.59105 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 58 3.64466 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 59 3.70481 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 60 3.75114 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 61 3.80296 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 62 3.84812 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 63 3.89932 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 64 3.95254 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 65 3.99936 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 66 4.08788 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 67 4.13756 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 68 4.18413 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 69 4.23311 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 70 4.2838 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 71 4.343 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 72 4.39821 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 73 4.74973 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 74 4.81173 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 75 5.02903 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 76 5.06961 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 77 5.11819 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 78 5.21565 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 79 5.27018 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 80 5.32817 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 81 5.67796 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 82 5.92491 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 83 6.10321 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 84 6.13508 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 85 6.19344 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 86 6.40348 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 87 6.56042 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 88 6.6118 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 89 6.6882 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
bi_rrt_star 90 6.74329 23.0522 13.7698 17.6876 16.8072 1.12537 16.7695
