planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
uni_informed_rrt_star 1 0.0280368 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 2 0.0793951 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 3 0.099582 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 4 0.117293 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 5 0.141124 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 6 0.156119 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 7 0.169795 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 8 0.184681 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 9 0.19868 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 10 0.219313 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 11 0.247193 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 12 0.282826 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 13 0.311132 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 14 0.341455 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 15 0.371208 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 16 0.402721 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 17 0.43507 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 18 0.465921 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 19 0.486335 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 20 0.516566 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 21 0.551426 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 22 0.572748 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 23 0.603811 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 24 0.631412 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 25 0.666064 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 26 0.702747 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 27 0.727465 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 28 0.74385 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 29 0.77402 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 30 0.801154 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 31 0.829597 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 32 0.866171 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 33 0.892072 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 34 0.926106 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 35 0.9675 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 36 1.0095 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 37 1.03734 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 38 1.05462 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 39 1.08298 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 40 1.11338 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 41 1.13609 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 42 1.16461 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 43 1.18723 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 44 1.20995 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 45 1.25448 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 46 1.29436 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 47 1.3231 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 48 1.35145 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 49 1.37864 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 50 1.40369 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 51 1.44305 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 52 1.47144 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 53 1.51143 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 54 1.53703 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 55 1.56626 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 56 1.60381 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 57 1.6476 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 58 1.66816 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 59 1.69922 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 60 1.73341 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 61 1.7635 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 62 1.79031 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 63 1.82046 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 64 1.8443 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 65 1.86879 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 66 1.89938 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 67 1.94136 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 68 1.99155 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 69 2.02325 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 70 2.05268 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 71 2.07819 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 72 2.11559 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 73 2.14596 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 74 2.20913 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 75 2.23741 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 76 2.27118 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 77 2.29889 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 78 2.32501 10000 10000 10000 16.8072 1.12537 16.7695
uni_informed_rrt_star 79 2.35413 10000 10000 10000 16.8072 1.12537 16.7695
